order_index,run_key,pair_id,family,instance_id,architecture,budget_max_model_calls,budget_max_tool_calls,budget_max_total_tokens,budget_max_concurrent_branches,budget_timeout_seconds,requested_model_id,expected_model_id,observed_model_ids,eligibility_class,pair_eligibility,termination_reason,exclusion_code,verified_success,utility,required_fact_recall,false_evidence_count,path_switch,repeated_action_count,unrelated_action_count,model_calls,tool_calls,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,critical_path_rounds,merge_omissions,merge_conflicts,controller_rejection_count
1,contracted_react__alternative_path-01,alternative_path-01,alternative_path,alternative_path-01,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,True,0,0,5,5,2659,137,2796,5.018038899987005,4,0,0,0
2,goal_graph_hybrid__alternative_path-01,alternative_path-01,alternative_path,alternative_path-01,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,True,3,0,8,5,4375,280,4655,8.094181300024502,4,0,0,3
3,goal_graph_hybrid__alternative_path-02,alternative_path-02,alternative_path,alternative_path-02,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,True,2,0,7,5,3759,226,3985,5.9429659999441355,4,0,0,2
4,contracted_react__alternative_path-02,alternative_path-02,alternative_path,alternative_path-02,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,True,0,0,5,5,2650,134,2784,3.9346082999836653,4,0,0,0
5,contracted_react__alternative_path-03,alternative_path-03,alternative_path,alternative_path-03,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,True,0,0,5,5,2659,137,2796,4.798138300073333,4,0,0,0
6,goal_graph_hybrid__alternative_path-03,alternative_path-03,alternative_path,alternative_path-03,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,True,5,0,10,5,5649,371,6020,8.860881200060248,4,0,0,5
7,goal_graph_hybrid__alternative_path-04,alternative_path-04,alternative_path,alternative_path-04,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,True,100,1.0,0,True,14,0,18,4,11610,793,12403,16.214630100061186,4,0,0,14
8,contracted_react__alternative_path-04,alternative_path-04,alternative_path,alternative_path-04,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,True,0,0,5,5,2656,136,2792,4.014530799933709,4,0,0,0
9,contracted_react__open_evidence-01,open_evidence-01,open_evidence,open_evidence-01,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,False,0,0,6,6,4120,198,4318,5.13136769994162,5,0,0,0
10,goal_graph_hybrid__open_evidence-01,open_evidence-01,open_evidence,open_evidence-01,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,True,100,1.0,0,False,13,0,18,5,13989,1231,15220,18.76757619995624,5,0,0,13
